date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:28:55	262/262	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Mar%202025%2022:28:54%20GMT	https://phpstack-1384472-5121645.cloudwaysapps.com/robots.txt		(from )
17:28:55	153807/153807	---M-Z	200	added ('OK')	text/html	etag:%22258cf-62f099ed16c80-gzip%22	https://phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/template/	C:/MAMP/htdocs/axelit/phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/template/index.html	(from )
17:28:55	665/665	---M--	200	added ('OK')	image/png	etag:%226754859a-299%22	https://phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/assets/images/logo/favicon.png	C:/MAMP/htdocs/axelit/phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/assets/images/logo/favicon.png	(from https://phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/template/)
17:28:56	148310/148310	---MCZ	200	added ('OK')	text/css	etag:W/%2266fd5c48-24356%22	https://phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/assets/vendor/fontawesome/css/all.css	C:/MAMP/htdocs/axelit/phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/assets/vendor/fontawesome/css/all.css	(from https://phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/template/)
17:28:56	71756/71756	---MCZ	200	added ('OK')	text/css	etag:W/%2266fd5c48-1184c%22	https://phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/assets/vendor/animation/animate.min.css	C:/MAMP/htdocs/axelit/phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/assets/vendor/animation/animate.min.css	(from https://phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/template/)
17:28:57	2582037/2582037	---MCZ	200	added ('OK')	text/css	etag:W/%2266fd5c48-276615%22	https://phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/assets/vendor/ionio-icon/css/iconoir.css	C:/MAMP/htdocs/axelit/phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/assets/vendor/ionio-icon/css/iconoir.css	(from https://phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/template/)
17:28:57	182351/182351	---MCZ	200	added ('OK')	text/css	etag:W/%2266fd5c48-2c84f%22	https://phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/assets/vendor/tabler-icons/tabler-icons.css	C:/MAMP/htdocs/axelit/phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/assets/vendor/tabler-icons/tabler-icons.css	(from https://phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/template/)
17:28:57	52789/52789	---MCZ	200	added ('OK')	text/css	etag:W/%2266fd5c48-ce35%22	https://phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/assets/vendor/flag-icons-master/flag-icon.css	C:/MAMP/htdocs/axelit/phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/assets/vendor/flag-icons-master/flag-icon.css	(from https://phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/template/)
17:28:58	220785/220785	---MCZ	200	added ('OK')	text/css	etag:W/%2266fd5c48-35e71%22	https://phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/assets/vendor/bootstrap/bootstrap.min.css	C:/MAMP/htdocs/axelit/phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/assets/vendor/bootstrap/bootstrap.min.css	(from https://phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/template/)
17:28:58	14288/14288	---MCZ	200	added ('OK')	text/css	etag:W/%2266fd5c48-37d0%22	https://phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/assets/vendor/apexcharts/apexcharts.css	C:/MAMP/htdocs/axelit/phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/assets/vendor/apexcharts/apexcharts.css	(from https://phpstack-1384472-5121645.cloudwaysapps.com/template/html/axelit/template/)
