date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:19:31	50/50	---MCZ	200	added ('OK')	text/plain	date:Tue,%2025%20Mar%202025%2022:19:30%20GMT	https://eliteadmin.themedesigner.in/robots.txt		(from )
17:19:31	105699/105699	---MCZ	200	added ('OK')	text/html	etag:W/%2219ce3-5c6fffe5634c5%22	https://eliteadmin.themedesigner.in/demos/bt4/material/	C:/MAMP/htdocs/axelit1/eliteadmin.themedesigner.in/demos/bt4/material/index.html	(from )
17:19:32	1347/1347	---M--	200	added ('OK')	image/png	etag:%2260ed8084-543%22	https://eliteadmin.themedesigner.in/demos/bt4/assets/images/favicon.png	C:/MAMP/htdocs/axelit1/eliteadmin.themedesigner.in/demos/bt4/assets/images/favicon.png	(from https://eliteadmin.themedesigner.in/demos/bt4/material/)
17:19:32	540/540	---MCZ	200	added ('OK')	text/css	etag:W/%2260ed8084-21c%22	https://eliteadmin.themedesigner.in/demos/bt4/assets/node_modules/morrisjs/morris.css	C:/MAMP/htdocs/axelit1/eliteadmin.themedesigner.in/demos/bt4/assets/node_modules/morrisjs/morris.css	(from https://eliteadmin.themedesigner.in/demos/bt4/material/)
17:19:33	4910/4910	---MCZ	200	added ('OK')	text/css	etag:W/%2260ed8084-132e%22	https://eliteadmin.themedesigner.in/demos/bt4/assets/node_modules/toast-master/css/jquery.toast.css	C:/MAMP/htdocs/axelit1/eliteadmin.themedesigner.in/demos/bt4/assets/node_modules/toast-master/css/jquery.toast.css	(from https://eliteadmin.themedesigner.in/demos/bt4/material/)
17:19:34	422/422	---MCZ	200	added ('OK')	text/css	etag:W/%2260ed8085-1a6%22	https://eliteadmin.themedesigner.in/demos/bt4/material/dist/css/pages/dashboard1.css	C:/MAMP/htdocs/axelit1/eliteadmin.themedesigner.in/demos/bt4/material/dist/css/pages/dashboard1.css	(from https://eliteadmin.themedesigner.in/demos/bt4/material/)
17:19:34	596369/596369	---MCZ	200	added ('OK')	text/css	etag:W/%2260ed8085-91991%22	https://eliteadmin.themedesigner.in/demos/bt4/material/dist/css/style.min.css	C:/MAMP/htdocs/axelit1/eliteadmin.themedesigner.in/demos/bt4/material/dist/css/style.min.css	(from https://eliteadmin.themedesigner.in/demos/bt4/material/)
17:19:36	105699/105699	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-19ce3%22	https://eliteadmin.themedesigner.in/demos/bt4/material/index.html	C:/MAMP/htdocs/axelit1/eliteadmin.themedesigner.in/demos/bt4/material/index-2.html	(from https://eliteadmin.themedesigner.in/demos/bt4/material/)
17:19:36	1980/1980	---M--	200	added ('OK')	image/png	etag:%2260ed8084-7bc%22	https://eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-icon.png	C:/MAMP/htdocs/axelit1/eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-icon.png	(from https://eliteadmin.themedesigner.in/demos/bt4/material/)
17:19:37	1785/1785	---M--	200	added ('OK')	image/png	etag:%2260ed8084-6f9%22	https://eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-light-icon.png	C:/MAMP/htdocs/axelit1/eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-light-icon.png	(from https://eliteadmin.themedesigner.in/demos/bt4/material/)
17:19:37	16131/16131	---M--	200	added ('OK')	image/png	etag:%2260ed8084-3f03%22	https://eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-text.png	C:/MAMP/htdocs/axelit1/eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-text.png	(from https://eliteadmin.themedesigner.in/demos/bt4/material/)
17:19:38	1629/1629	---M--	200	added ('OK')	image/png	etag:%2260ed8084-65d%22	https://eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-light-text.png	C:/MAMP/htdocs/axelit1/eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-light-text.png	(from https://eliteadmin.themedesigner.in/demos/bt4/material/)
17:19:38	31418/31418	---M--	200	added ('OK')	image/jpeg	etag:%2260ed8084-7aba%22	https://eliteadmin.themedesigner.in/demos/bt4/assets/images/users/1.jpg	C:/MAMP/htdocs/axelit1/eliteadmin.themedesigner.in/demos/bt4/assets/images/users/1.jpg	(from https://eliteadmin.themedesigner.in/demos/bt4/material/)
17:19:40	75554/75554	---M--	200	added ('OK')	image/jpeg	etag:%2260ed8084-12722%22	https://eliteadmin.themedesigner.in/demos/bt4/assets/images/users/2.jpg	C:/MAMP/htdocs/axelit1/eliteadmin.themedesigner.in/demos/bt4/assets/images/users/2.jpg	(from https://eliteadmin.themedesigner.in/demos/bt4/material/)
17:19:40	43005/43005	---M--	200	added ('OK')	image/jpeg	etag:%2260ed8084-a7fd%22	https://eliteadmin.themedesigner.in/demos/bt4/assets/images/users/3.jpg	C:/MAMP/htdocs/axelit1/eliteadmin.themedesigner.in/demos/bt4/assets/images/users/3.jpg	(from https://eliteadmin.themedesigner.in/demos/bt4/material/)
17:19:41	72937/72937	---M--	200	added ('OK')	image/jpeg	etag:%2260ed8084-11ce9%22	https://eliteadmin.themedesigner.in/demos/bt4/assets/images/users/4.jpg	C:/MAMP/htdocs/axelit1/eliteadmin.themedesigner.in/demos/bt4/assets/images/users/4.jpg	(from https://eliteadmin.themedesigner.in/demos/bt4/material/)
17:19:42	145591/145591	---M--	200	added ('OK')	image/jpeg	etag:%2260ed8084-238b7%22	https://eliteadmin.themedesigner.in/demos/bt4/assets/images/big/img1.jpg	C:/MAMP/htdocs/axelit1/eliteadmin.themedesigner.in/demos/bt4/assets/images/big/img1.jpg	(from https://eliteadmin.themedesigner.in/demos/bt4/material/)
17:19:42	69177/69177	---M--	200	added ('OK')	image/jpeg	etag:%2260ed8084-10e39%22	https://eliteadmin.themedesigner.in/demos/bt4/assets/images/big/img2.jpg	C:/MAMP/htdocs/axelit1/eliteadmin.themedesigner.in/demos/bt4/assets/images/big/img2.jpg	(from https://eliteadmin.themedesigner.in/demos/bt4/material/)
17:19:42	101629/101629	---M--	200	added ('OK')	image/jpeg	etag:%2260ed8084-18cfd%22	https://eliteadmin.themedesigner.in/demos/bt4/assets/images/big/img3.jpg	C:/MAMP/htdocs/axelit1/eliteadmin.themedesigner.in/demos/bt4/assets/images/big/img3.jpg	(from https://eliteadmin.themedesigner.in/demos/bt4/material/)
